sentence_source	label	label_notes	sentence	e1	e2	e1_e2	count_e1	count_e2	count_e1_e2
1	0	dummy	The period of tumor shrinkage after radiation therapy is often long and varied (mean months).	tumor shrinkage	radiation therapy	tumor shrinkage radiation therapy	5,800,000	1,860,000,000	6,530,000
3	0	dummy	Earplugs relieve the discomfort from traveling with a cold allergy or sinus condition.	discomfort	traveling	discomfort traveling	2,780,000,000	4,000,000,000	13,900,000
4	0	dummy	We continue to see progress toward a world free of the daily terror of antipersonnel land mines.	daily terror	antipersonnel land mines	daily terror antipersonnel land mines	154,000,000	781,000	492,000
6	0	dummy	The report links conditions in some of the worst affected localities and the likelihood that dire poverty  combined with despair and outrage over rampant corruption, repressive policies, and governments' failure to address local needs  could lead to outbreaks of localised unrest with the potential to spread into a wider regional conflict.	outrage	rampant corruption	outrage rampant corruption	1,310,000,000	11,200,000	5,950,000
8	0	dummy	Famine following drought has hit the West African savannahs, where there have been other bad droughts, notably the great one of 1972-74.	Famine	drought	Famine drought	171,000,000	2,250,000,000	8,050,000
9	0	dummy	People in Hawaii might be feeling aftershocks from that powerful earthquake for weeks.	aftershocks	earthquake	aftershocks earthquake	22,200,000	2,440,000,000	3,660,000
11	1	dummy	Zinc is essential for growth and cell division.	Zinc	growth	Zinc growth	3,050,000,000	3,530,000,000	190,000,000
13	0	dummy	Apartment residents in Delaware were awarded $million for health problems attributed to mold growth from unrepaired leaks.	mold growth	unrepaired leaks	mold growth unrepaired leaks	81,200,000	587,000	275,000
14	0	dummy	This industry and way of life, however, is in trouble as salmon decline due to habitat degradation from dams, clearcutting, and overgrazing along streams.	habitat degradation	dams	habitat degradation dams	57,800,000	1,750,000,000	9,180,000
15	0	dummy	It is widely known that significant reductions of these levels produce pastries with poor lift in the oven and with unacceptable shrinkage after cooling.	shrinkage	cooling	shrinkage cooling	128,000,000	3,290,000,000	39,700,000
16	0	dummy	Teens will find a realistic model for improving self-esteem, confronting challenges head on and the possibilities of achievement through perseverance.	achievement	perseverance	achievement perseverance	4,310,000,000	1,420,000,000	18,600,000
23	0	dummy	There should be no revenue increase from the tax cuts - except possibly from the cuts in the higher tax rates.	revenue increase	tax cuts	revenue increase tax cuts	4,620,000,000	614,000,000	129,000,000
25	0	dummy	There exists a widespread controversy over stem cell research that emanates from the techniques used in the creation and usage of stem cells.	controversy	stem cell research	controversy stem cell research	3,950,000,000	2,530,000,000	32,900,000
27	0	dummy	Aromatherapy can be used for stress relief through massage with sedatives like lavender and sweet marjoram.	stress relief	massage	stress relief massage	2,290,000,000	709,000,000	44,400,000
29	0	dummy	The resulting anti-social behaviour from alcohol consumption is an on-going matter that the town and the police continue to address, particularly in the summer months.	anti-social behaviour	alcohol consumption	anti-social behaviour alcohol consumption	1,730,000,000	4,240,000,000	56,300,000
30	0	dummy	Complementing the data from PARK, GeoFEST will model the evolution of stress and strain in a detailed simulation of the crust and mantle, potentially helping researchers predict the deformation from an earthquake or a series of quakes.	deformation	earthquake	deformation earthquake	2,390,000,000	2,440,000,000	12,900,000
32	0	dummy	It is likely that the nausea comes from abnormal sensations originating from areas of the brain that are sensing the lack of oxygen.	nausea	abnormal sensations	nausea abnormal sensations	2,590,000,000	6,480,000	7,330,000
33	0	dummy	That seems to me like an accusation out of ignorance seeing that you don't even know what my characters name is.	accusation	ignorance	accusation ignorance	2,290,000,000	2,020,000,000	42,300,000
34	0	dummy	In summer 2000, an Adventist church in Polotsk, Vitebsk Region, was damaged by a fire started with flammable liquids.	fire	flammable liquids	fire flammable liquids	3,370,000,000	15,000,000	18,100,000
35	0	dummy	Genuine joy comes from profound spiritual awareness on life and an absolute clarity of direction, living for a purpose.	joy	spiritual awareness	joy spiritual awareness	3,880,000,000	156,000,000	29,500,000
39	0	dummy	Eye discomfort from this staring effect is exacerbated by low humidity.	discomfort	staring effect	discomfort staring effect	2,780,000,000	146,000,000	6,690,000
41	0	dummy	He derives great joy and happiness from cycling.	happiness	cycling	happiness cycling	3,870,000,000	3,640,000,000	119,000,000
42	0	dummy	The pollution in rain comes from mercury air pollution from coal-fired power plants and other industries.	pollution	mercury air pollution	pollution mercury air pollution	3,880,000,000	20,100,000	22,200,000
44	0	dummy	Alabama has since enacted legislation, allowing death by lethal injection as an alternative choice to death in the electric chair.	death	lethal injection	death lethal injection	3,870,000,000	56,100,000	18,900,000
47	0	dummy	Sudden death from inhalation of petroleum distillates is well recognised in misuses of volatile substances.	death	inhalation	death inhalation	3,870,000,000	2,290,000,000	72,100,000
51	0	dummy	The randomized hypertensive ABCD study demonstrated a decrease in myocardial infarction with ACE inhibitors and a decrease in overall mortality with aggressive blood pressure control.	decrease	blood pressure control	decrease blood pressure control	3,870,000,000	4,160,000,000	431,000,000
52	0	dummy	It was also felt necessary at this time to draw up a similar document, dealing not with the prevention of marine pollution by dumping, but instead with the prevention of marine pollution by discharges of dangerous substances from land-based sources, watercourses or pipelines.	marine pollution	dumping	marine pollution dumping	1,510,000,000	1,830,000,000	7,250,000
55	0	dummy	The risks of this procedure include anesthesia complications (especially General), post-operative difficulty breathing, and sore throat from intubation.	sore throat	intubation	sore throat intubation	1,900,000,000	56,400,000	1,090,000
57	0	dummy	Their chemical activation by light (halogen, plasma, lasers, etc.) enhances their efficiency by reducing exposure time and number of appointments.	activation	light	activation light	4,040,000,000	4,930,000,000	6,310,000,000
58	0	dummy	The spiciness comes from small capsaicin glands located between the pepper's outside skin and the white ribs inside.	spiciness	capsaicin glands	spiciness capsaicin glands	7,630,000	4,340,000	982,000
60	0	dummy	Someone once said that progress comes from dissatisfaction.	progress	dissatisfaction	progress dissatisfaction	4,220,000,000	132,000,000	97,100,000
61	0	dummy	Ray Parlour shows his frustration after Middlesbrough's defeat.	frustration	defeat	frustration defeat	3,190,000,000	3,470,000,000	60,600,000
62	0	dummy	If governments were once content to passively realize the benefits from funding basic research, the determination to be part of the knowledge-based economy has driven OECD countries to extract greater direct benefits from publicly funded research.	benefits	funding basic research	benefits funding basic research	4,310,000,000	5,180,000,000	6,860,000,000
63	0	dummy	The troubled company is still feeling aftershocks after its devastating withdrawal of the pain medication Vioxx six months ago.	aftershocks	withdrawal	aftershocks withdrawal	22,200,000	3,550,000,000	4,490,000
64	0	dummy	Two sides search for the naked truth in the fight over a painting on display in a Florida shop.	fight	painting	fight painting	4,240,000,000	3,660,000,000	343,000,000
65	0	dummy	In the months leading up to trade negotiations, estimates of the economic gains from trade liberalization suddenly become newsworthy.	economic gains	trade liberalization	economic gains trade liberalization	345,000,000	25,900,000	10,200,000
66	0	dummy	The design of the shape of the can ends moreover has a marked effect on their ability to resist deformation from internal pressure.	deformation	internal pressure	deformation internal pressure	2,390,000,000	4,850,000,000	
67	1	dummy	This understanding is consistent with behavioural studies that have failed to clearly distinguish between people with drinking problems and others.	drinking	problems	drinking problems	5,580,000,000	4,460,000,000	3,820,000,000
69	0	dummy	In the most common form of such an attack, called ischemic stroke, the blockage comes from a blood clot that develops in one of the brain's blood vessels.	blockage	blood clot	blockage blood clot	1,570,000,000	180,000,000	10,300,000
72	0	dummy	Manila radio station DZMM quoted survivors as saying that the fire started with an explosion in the cargo hold and spread across the ship within minutes.	fire	explosion	fire explosion	3,370,000,000	3,900,000,000	1,900,000,000
74	0	dummy	Thatch is caused by excessive growth from overfertilizing, by allowing the grass to get too high before mowing, or by incorrect watering.	excessive growth	overfertilizing	excessive growth overfertilizing	2,670,000,000	125,000	78,100
77	0	dummy	Most of the excitement came from the anticipation of winning a nice prize, all for the sum of one dollar.	excitement	anticipation	excitement anticipation	4,020,000,000	2,370,000,000	91,300,000
78	0	dummy	Anyone seeking hair reduction by laser treatment should first consult with a dermatologist, says Moore.	hair reduction	laser treatment	hair reduction laser treatment	1,920,000,000	3,580,000,000	24,400,000
82	1	dummy	Yoga is fantastic for increased flexibility, which is great for cross-training with all the other programs we offer.	Yoga	increased flexibility	Yoga increased flexibility	686,000,000	1,180,000,000	13,800,000
84	0	dummy	Polar bears and hippos have joined the ranks of species threatened with extinction from climate change, unregulated hunting and other dangers created by humans.	extinction	climate change	extinction climate change	2,940,000,000	3,830,000,000	58,300,000
85	0	dummy	It is commonly accepted that progress comes from science, debate, inference, logic and reasoning.	progress	science	progress science	4,220,000,000	4,260,000,000	10,450,000,000
87	1	dummy	In fact, nobody received a drinking injury the whole weekend.	drinking	injury	drinking injury	5,580,000,000	4,050,000,000	413,000,000
90	0	dummy	Hand creams counteract dryness from exposure to wind, sun, and detergents.	dryness	exposure	dryness exposure	177,000,000	3,870,000,000	18,100,000
91	0	dummy	In a departure from previous liftoffs, ground and aircraft cameras monitored Discovery for possible damage from falling debris.	damage	debris	damage debris	3,820,000,000	2,180,000,000	126,000,000
93	0	dummy	Companies face big risk from loss of key employees.	risk	loss	risk loss	4,690,000,000	4,490,000,000	11,200,000,000
98	0	dummy	However, some may be able to perform minutes of moderate-intensity exercise two to three hours after breakfast without a high risk of hypoglycemia, despite slightly higher insulin levels after eating.	higher insulin levels	eating	higher insulin levels eating	137,000,000	4,180,000,000	41,700,000
99	0	dummy	The moisturizers' primary function is to keep skin moist, minimize wrinkles from dryness, smoothe and soften skin, and to deliver other ingredients, like sunscreen, that benefit the skin.	wrinkles	dryness	wrinkles dryness	352,000,000	177,000,000	11,300,000
101	0	dummy	Inhibition through synaptic depression is unlike the previous forms of inhibition in that it turns on more slowly and thus acts as delayed negative feedback.	Inhibition	synaptic depression	Inhibition synaptic depression	3,090,000,000	24,400,000	9,080,000
103	0	dummy	However, these animals are found in the intertidal zone, inside tide pools, where salinity can increase due to evaporation from exposure to intense sunshine, or decrease from heavy rainfall or fresh water runoffs.	evaporation	exposure	evaporation exposure	2,580,000,000	3,910,000,000	76,800,000
104	0	dummy	There were the years of constant fatigue and shortness of breath, the heart attack at age 11, the collapse from exhaustion on her high school graduation night.	collapse	exhaustion	collapse exhaustion	4,000,000,000	1,440,000,000	34,500,000
107	0	dummy	This program will be an effective step to mitigate damage from hurricanes - but let us not forget this is a retroactive measure.	damage	hurricanes	damage hurricanes	3,890,000,000	2,640,000,000	127,000,000
109	0	dummy	Scientific progress comes from breakthroughs and breakthroughs by their very nature are unpredictable and surprising in their impact.	Scientific progress	breakthroughs	Scientific progress breakthroughs	5,380,000,000	3,310,000,000	20,100,000
110	0	dummy	Declines of great gray owls in California may be due to habitat degradation from logging, grazing, and development.	habitat degradation	logging	habitat degradation logging	57,800,000	4,060,000,000	6,540,000
112	0	dummy	Parents also experience anxiety from fear of the suffering of their child and worry about an uncertain outcome.	anxiety	fear	anxiety fear	4,020,000,000	4,230,000,000	2,300,000,000
116	0	dummy	Villagers live in constant terror of indiscriminate gunfire which fills the nights throughout Chechnya.	terror	indiscriminate gunfire	terror indiscriminate gunfire	3,100,000,000	1,450,000	824,000
117	0	dummy	From our point of view, the moral outrage over Manet's painting seems hypocritical, if not utterly inexplicable.	moral outrage	painting	moral outrage painting	16,000,000	3,660,000,000	7,110,000
118	0	dummy	This lamp can cause serious skin burn and eye inflammation from shortwave ultraviolet radiation if outer envelope of the lamp is broken or punctured.	eye inflammation	shortwave ultraviolet radiation	eye inflammation shortwave ultraviolet radiation	2,830,000,000	1,240,000	562,000
120	0	dummy	A tear or a crease changes the character of the surface more drastically than a mere deformation from roundness.	deformation	roundness	deformation roundness	2,390,000,000	9,050,000	1,400,000
123	0	dummy	Waves from earthquakes travel at different velocities through different media.	Waves	earthquakes	Waves earthquakes	4,070,000,000	2,720,000,000	67,800,000
125	0	dummy	Energy expenditure through physical activity is a key component in the prevention and treatment of overweight and obesity.	Energy expenditure	physical activity	Energy expenditure physical activity	986,000,000	4,210,000,000	58,100,000
127	1	dummy	In addition, scientists may have a number of potentially useful targets to prevent and treat this lethal tumour because of the findings that NOXmediated overproduction of hydrogen peroxide is responsible for increased growth and decreased death of cancer cells.	overproduction	growth	overproduction growth	32,900,000	3,530,000,000	16,400,000
129	0	dummy	This can be caused by hepatitis, alcoholic liver disease, liver inflammation from medications, fatty liver, liver tumors, or heart failure.	liver inflammation	medications	liver inflammation medications	2,580,000,000	4,040,000,000	35,400,000
131	0	dummy	Six glowing disks await activation by the footsteps of desert wanderers.	activation	footsteps	activation footsteps	4,040,000,000	908,000,000	7,490,000
133	0	dummy	Thailand has been bracing itself for a downturn in the wake of the bombs, especially in the tourist sector.	downturn	bombs	downturn bombs	94,300,000	2,780,000,000	3,900,000
135	0	dummy	This prescription drug alleviates panic from claustrophobia and is also very handy for airplane rides and in case of broken-down subway cars or elevators.	panic	claustrophobia	panic claustrophobia	2,290,000,000	22,300,000	4,870,000
138	0	dummy	The studies revealed that skin irritation from soaps, inaccessibility to supplies or sinks, and insufficient time to wash hands between every patient care contact were the main reasons given by healthcare workers for lack of handwashing compliance.	skin irritation	soaps	skin irritation soaps	3,380,000,000	3,010,000,000	4,670,000
139	0	dummy	Infection starts with manual execution of the binary.	Infection	manual execution	Infection manual execution	4,180,000,000	133,000,000	19,900,000
140	0	dummy	Anthony finds inspiration in a beautiful, enigmatic older woman who teaches him to follow his heart and find happiness through swing dancing.	happiness	swing dancing	happiness swing dancing	3,870,000,000	558,000,000	57,400,000
